id,brand,brewer,breweryId,pref,muni,reg,areaId,f1,f2,f3,f4,f5,f6,rank,tango,umap_x,umap_y,pca_x,pca_y
2,男山,男山,2,北海道,旭川市,道北,1,0.2533544551324909,0.5417531153595495,0.32449018163891613,0.413031788501213,0.42912058865346064,0.4269443361421736,,False,2.855505,3.996665,-0.23793647691480932,1.0812450081769855
3,大雪乃蔵,合同酒精,3,北海道,旭川市,道北,1,0.3115306983210941,0.5347406540272892,0.2923635882101074,0.3820431646361373,0.44067655206782,0.4374606108387046,,False,2.1999981,4.5529637,0.34668013935561975,0.8860165168959068
4,宝川,田中酒造,4,北海道,小樽市,道央,1,0.36161401877084376,0.48004267312588433,0.2748792574372695,0.44137804789596846,0.3634044587847086,0.48616699333482893,,False,2.0455303,5.7029457,0.8545253435522923,0.7836400587781241
9,えぞ乃熊,高砂酒造,6,北海道,旭川市,道北,1,0.3636209987771778,0.5653070417894722,0.2972459299701238,0.428689979168548,0.2743972801348262,0.44808884083717104,,False,3.1956525,7.3506126,0.09016110095673761,-0.3697600502632194
10,国士無双,高砂酒造,6,北海道,旭川市,道北,1,0.29194760028024636,0.5555477751572105,0.31664347174778334,0.4159066739313846,0.38939046826771817,0.42575448536635496,,False,3.2096057,4.878075,-0.1750264238326592,0.6182173548074628
11,北の錦,小林酒造,7,北海道,夕張郡栗山町,道央,1,0.329047593941234,0.54133565763466,0.3489992477700575,0.4693715102559505,0.3329619965387599,0.38171927639515413,,False,4.8549585,6.300791,-0.5726781313825695,0.3957204308113014
12,陸奥八仙,八戸酒造,10,青森県,八戸市,南部（県南）,2,0.4850009179899411,0.48377179415201577,0.20068291924030832,0.27713685443727615,0.3599988747024489,0.532974015110141,29.0,False,-0.45929694,7.820538,2.4400033254371842,-0.27023499837038967
17,八鶴,八戸酒類,14,青森県,八戸市,南部（県南）,2,0.29976422792063606,0.5638931854166466,0.34424676231769114,0.4525013586709182,0.36808253527171747,0.36526403787194495,,False,5.383612,6.5250473,-0.7640241628811502,0.5224707299368158
18,駒泉,盛田庄兵衛,15,青森県,上北郡七戸町,南部（県南）,2,0.2494923815081877,0.5016448422693124,0.4958273003268613,0.4549769282821298,0.3008705858281662,0.3778017699256049,,False,7.2656536,5.6874847,-1.3948661755524039,0.6234310478032544
19,田酒,西田酒造店,16,青森県,青森市,津軽,2,0.46220408579649036,0.5126257222676406,0.25914451238049213,0.3689271682449516,0.3043738092202252,0.47715375136031213,6.0,False,1.3017402,7.8272276,1.2931707353380608,-0.4121976223549107
20,喜久泉,西田酒造店,16,青森県,青森市,津軽,2,0.37621751788906704,0.49347895664106983,0.24783055558039008,0.44496062492202565,0.4311128281461637,0.4119110170696608,,False,2.282053,5.070917,0.6646638363584368,1.0912926892290695
21,善知鳥,西田酒造店,16,青森県,青森市,津軽,2,0.5410928498356892,0.5655605713869208,0.21350189559089366,0.3155179015318656,0.30017242572709973,0.390027790259007,,False,1.4526438,9.4519825,1.2891435627439112,-1.2335829748740597
28,浜千鳥,浜千鳥,22,岩手県,釜石市,沿岸,3,0.3103671184796295,0.4980786329542177,0.2865785566120339,0.5194614734874564,0.3437817327735157,0.43062345015657516,,False,3.7995632,5.1154995,-0.05297970425378205,1.010661409708348
31,堀の井,高橋酒造店,24,岩手県,紫波郡紫波町,県央（盛岡周辺）,3,0.355795564321034,0.5257788735548066,0.32073394681922984,0.4446756798444078,0.3364993340534697,0.4279340671495556,,False,3.6068487,6.355147,0.06052835977403444,0.341250790969272
32,南部美人,南部美人,25,岩手県,二戸市,県北,3,0.41440793781596985,0.5505609384578627,0.2753289832255337,0.42342151773894776,0.2822870414246024,0.4363151494904771,82.0,False,2.8752246,7.705145,0.4330445232170839,-0.42460920843682526
34,あさ開,あさ開,26,岩手県,盛岡市,県央（盛岡周辺）,3,0.323145701567283,0.5115913160117244,0.3175673314152011,0.4380926720176514,0.3743219761427397,0.44828566769286426,,False,2.867281,5.2474604,0.18224807888445674,0.7645829281848339
38,龍泉八重桜,泉金酒造,30,岩手県,下閉伊郡岩泉町,沿岸,3,0.28106389005679056,0.49476095336532616,0.47528484335487337,0.4771760788051838,0.3042315184875689,0.360645503761198,,False,7.1924872,5.6182685,-1.2947958515803437,0.6593077862148837
41,菊の司,菊の司酒造,32,岩手県,盛岡市,県央（盛岡周辺）,3,0.4466348031177067,0.579816165123,0.27504206143925686,0.3259283084244932,0.19422797118620472,0.4947005808787257,,False,1.1340646,9.47315,0.9292802917690428,-1.6238010740935849
42,七福神,菊の司酒造,32,岩手県,盛岡市,県央（盛岡周辺）,3,0.2228433728035047,0.42658839655543,0.33127861118989477,0.4363840946432248,0.5602571331809759,0.3928085023929179,,False,1.5428003,3.2430842,0.06490448265190325,2.8154460598616717
43,月の輪,月の輪酒造店,33,岩手県,紫波郡紫波町,県央（盛岡周辺）,3,0.23562211961127277,0.5139378390419278,0.3493723360736179,0.4553343130379512,0.4564469181575558,0.3776452825231559,,False,3.8506856,3.5966582,-0.6473019431331004,1.6318396671201416
44,澤乃泉,石越醸造,34,宮城県,登米市,県北（大崎・栗原）,4,0.24585131421209774,0.5190168019237366,0.3647643819893148,0.46918317538412974,0.3615925088548059,0.4315595459835716,,False,5.101571,5.3682284,-0.5849158756240115,1.0142289248837193
45,橘屋,川敬商店,35,宮城県,遠田郡美里町,県北（大崎・栗原）,4,0.28725702140137194,0.61856730670988,0.33674009629874413,0.5316711723434746,0.18036138924706624,0.32597474141073157,,False,6.7730355,7.1964874,-1.7288297159362631,-0.6585280149740843
